x,y,yaw
298563.862,4137849.289,2.999594
298563.664,4137849.319,2.977738
298563.467,4137849.354,2.953039
298563.271,4137849.394,2.926913
298563.076,4137849.440,2.899376
298562.883,4137849.490,2.870373
298562.691,4137849.547,2.839861
298562.501,4137849.609,2.810341
298562.313,4137849.677,2.786784
298562.126,4137849.748,2.769326
298561.940,4137849.822,2.755548
298561.755,4137849.899,2.738074
298561.572,4137849.979,2.716355
298561.391,4137850.064,2.690352
298561.212,4137850.154,2.661842
298561.036,4137850.248,2.641981
298560.861,4137850.345,2.632686
298560.686,4137850.442,2.633925
298560.511,4137850.539,2.645404
298560.335,4137850.633,2.654315
298560.158,4137850.727,2.653647
298559.982,4137850.821,2.643376
298559.807,4137850.918,2.623443
298559.635,4137851.020,2.594868
298559.465,4137851.126,2.567328
298559.299,4137851.237,2.543175
298559.135,4137851.351,2.522419
298558.973,4137851.469,2.505046
298558.813,4137851.589,2.491029
298558.654,4137851.711,2.480337
298558.497,4137851.834,2.472943
298558.340,4137851.959,2.468829
298558.184,4137852.083,2.467938
298558.028,4137852.208,2.468137
298557.871,4137852.333,2.468313
298557.715,4137852.457,2.468465
298557.559,4137852.582,2.468593
298557.402,4137852.707,2.468697
298557.246,4137852.831,2.468777
298557.089,4137852.956,2.468833
298556.933,4137853.081,2.468864
298556.777,4137853.205,2.468872
298556.620,4137853.330,2.468856
298556.464,4137853.455,2.468815
298556.307,4137853.579,2.468711
298556.151,4137853.704,2.468511
298555.995,4137853.829,2.468217
298555.838,4137853.953,2.467833
298555.682,4137854.078,2.467522
298555.526,4137854.203,2.467353
298555.369,4137854.328,2.467326
298555.213,4137854.453,2.467441
298555.057,4137854.578,2.467698
298554.901,4137854.702,2.468097
298554.744,4137854.827,2.468639
298554.588,4137854.952,2.469322
298554.431,4137855.076,2.470148
298554.275,4137855.201,2.471116
298554.118,4137855.325,2.472202
298553.961,4137855.449,2.473230
298553.804,4137855.573,2.474160
298553.647,4137855.696,2.474993
298553.490,4137855.820,2.475730
298553.332,4137855.943,2.476369
298553.175,4137856.067,2.476912
298553.017,4137856.190,2.477358
298552.860,4137856.313,2.477707
298552.702,4137856.437,2.477960
298552.545,4137856.560,2.478115
298552.387,4137856.683,2.478174
298552.230,4137856.806,2.478136
298552.072,4137856.929,2.478001
298551.915,4137857.053,2.477769
298551.757,4137857.176,2.477458
298551.600,4137857.299,2.477174
298551.442,4137857.422,2.476935
298551.285,4137857.546,2.476740
298551.127,4137857.669,2.476590
298550.970,4137857.793,2.476484
298550.813,4137857.916,2.476422
298550.655,4137858.039,2.476400
298550.498,4137858.163,2.476388
298550.341,4137858.286,2.476382
