x,y,yaw
298564.659,4137849.201,3.058729
298564.460,4137849.219,3.045818
298564.261,4137849.239,3.033134
298564.062,4137849.262,3.018212
298563.864,4137849.289,2.999840
298563.666,4137849.319,2.978028
298563.470,4137849.354,2.953353
298563.274,4137849.394,2.927246
298563.079,4137849.439,2.899727
298562.885,4137849.490,2.870744
298562.693,4137849.546,2.840252
298562.503,4137849.608,2.810677
298562.315,4137849.676,2.787044
298562.128,4137849.747,2.769510
298561.942,4137849.821,2.755743
298561.758,4137849.898,2.738324
298561.575,4137849.978,2.716660
298561.393,4137850.063,2.690713
298561.215,4137850.153,2.662168
298561.038,4137850.247,2.642170
298560.863,4137850.344,2.632739
298560.689,4137850.441,2.633841
298560.513,4137850.537,2.645224
298560.337,4137850.632,2.654260
298560.160,4137850.725,2.653718
298559.984,4137850.820,2.643575
298559.809,4137850.917,2.623772
298559.637,4137851.018,2.595258
298559.467,4137851.125,2.567674
298559.301,4137851.235,2.543477
298559.137,4137851.350,2.522676
298558.975,4137851.467,2.505259
298558.815,4137851.587,2.491197
298558.657,4137851.709,2.480460
298558.499,4137851.833,2.473022
298558.343,4137851.957,2.468863
298558.186,4137852.082,2.467935
298558.030,4137852.206,2.468135
298557.874,4137852.331,2.468311
298557.717,4137852.456,2.468463
298557.561,4137852.580,2.468591
298557.404,4137852.705,2.468695
298557.248,4137852.830,2.468776
298557.092,4137852.954,2.468832
298556.935,4137853.079,2.468864
298556.779,4137853.204,2.468872
298556.622,4137853.328,2.468856
298556.466,4137853.453,2.468816
298556.310,4137853.577,2.468713
298556.153,4137853.702,2.468515
298555.997,4137853.827,2.468221
298555.840,4137853.952,2.467838
298555.684,4137854.076,2.467525
298555.528,4137854.201,2.467354
298555.372,4137854.326,2.467325
298555.216,4137854.451,2.467438
298555.059,4137854.576,2.467693
298554.903,4137854.701,2.468091
298554.747,4137854.825,2.468630
298554.590,4137854.950,2.469311
298554.434,4137855.074,2.470135
298554.277,4137855.199,2.471100
298554.120,4137855.323,2.472186
298553.963,4137855.447,2.473215
298553.806,4137855.571,2.474146
298553.649,4137855.694,2.474981
298553.492,4137855.818,2.475719
298553.335,4137855.942,2.476360
298553.177,4137856.065,2.476905
298553.020,4137856.188,2.477352
298552.862,4137856.312,2.477703
298552.705,4137856.435,2.477957
298552.547,4137856.558,2.478114
298552.390,4137856.681,2.478174
298552.232,4137856.804,2.478137
298552.075,4137856.927,2.478004
298551.917,4137857.051,2.477774
298551.760,4137857.174,2.477463
298551.602,4137857.297,2.477179
298551.445,4137857.420,2.476938
