x,y,yaw
298256.367,4137586.303,-1.867250
298256.115,4137585.478,-1.780540
298255.490,4137582.542,-1.780938
298255.291,4137581.609,-1.713073
298254.868,4137578.656,-1.714136
298254.812,4137578.268,-1.627164
298254.643,4137575.273,-1.627284
298254.586,4137574.265,-1.545460
298254.662,4137571.266,-1.546140
298254.682,4137570.455,-1.454975
298255.028,4137567.481,-1.454556
298255.106,4137566.813,-1.376995
298255.684,4137563.868,-1.377257
298255.909,4137562.720,-1.289928
298256.739,4137559.843,-1.290260
298256.926,4137559.194,-1.202065
298258.006,4137556.399,-1.202647
298258.271,4137555.712,-1.115046
298259.592,4137553.017,-1.115023
298259.967,4137552.252,-1.043345
298261.478,4137549.658,-1.043271
298261.940,4137548.865,-0.959384
298263.654,4137546.420,-0.959581
298263.942,4137546.009,-0.877518
298265.848,4137543.715,-0.877631
298266.108,4137543.402,-0.797691
298268.197,4137541.261,-0.799190
298268.626,4137540.820,-0.732566
298270.846,4137538.823,-0.732815
298271.226,4137538.481,-0.649819
298273.671,4137536.623,-0.582237
298276.162,4137534.983,-0.583326
298276.459,4137534.787,-0.504429
298279.071,4137533.345,-0.503369
298279.436,4137533.144,-0.433086
298282.146,4137531.891,-0.432547
298282.603,4137531.680,-0.361636
298285.392,4137530.625,-0.359350
298285.581,4137530.554,-0.290527
298288.444,4137529.698,-0.290938
298288.975,4137529.539,-0.205669
298291.899,4137528.929,-0.205395
298292.403,4137528.824,-0.123611
298295.381,4137528.454,-0.123777
298296.233,4137528.348,-0.052583
298299.216,4137528.191,-0.053182
298299.742,4137528.163,0.021801
298302.723,4137528.228,0.019670
298303.028,4137528.234,0.109181
298306.002,4137528.560,0.109955
298306.627,4137528.629,0.177857
298309.581,4137529.160,0.177016
298310.822,4137529.382,0.263503
298313.717,4137530.163,0.262459
298314.454,4137530.361,0.368426
298317.236,4137531.435,0.365689
298317.552,4137531.556,0.435641
298320.274,4137532.823,0.435700
298321.101,4137533.208,0.521725
298323.686,4137534.694,0.522292
298323.891,4137534.812,0.580099
298326.386,4137536.447,0.580078
298326.708,4137536.658,0.667354
298329.066,4137538.516,0.667230
298329.801,4137539.095,0.746783
